file,unsplash_url,photographer,note
service-diagnostic.jpg,https://unsplash.com/photos/yx17UuZw1Ck,Mediamodifier,
service-build.jpg,https://unsplash.com/photos/fteR0e2BzKo,Sven Mieke,
service-retainer.jpg,https://unsplash.com/photos/TkHbz4Yk348,2H Media,
service-head-of-data.jpg,https://unsplash.com/photos/doS_ZDtfjzw,Kelly Sikkema,"Alternate: leather notebook with a silver pen, not a fountain pen"
industry-semiconductor.jpg,https://unsplash.com/photos/qOx9KsvpqcM,Laura Ockel,
industry-healthcare.jpg,https://unsplash.com/photos/H8FWz4_e-ng,Nate Mindful,Stethoscope on a white desk; no notebook in frame
industry-hospitality.jpg,https://unsplash.com/photos/B4rEJ09-Puo,Andrew Neel,
industry-games.jpg,https://unsplash.com/photos/UCXxAKedX7k,Vitalii Abakumov,
industry-saas.jpg,https://unsplash.com/photos/80sl0xh63k0,SPurno Animation Studio,
industry-compliance.jpg,https://unsplash.com/photos/GJao3ZTX9gU,Cytonn Photography,
industry-utilities.jpg,https://unsplash.com/photos/kHivKyO8E8U,Imam Fadly,
work-games-metadata-catalog.jpg,https://unsplash.com/photos/liNp6TqCCJw,Marcel Strauß,Controller buttons close-up. Shelf-of-games shots were skipped because titles are readable at full size
work-health-data-foundation.jpg,https://unsplash.com/photos/GM2FxUUjqh4,Planet Volumes,Unlabeled amber supplement bottles
work-semiconductor-ml-pipelines.jpg,https://unsplash.com/photos/pfR18JNEMv8,Vishnu Mohanan,
work-hospitality-governance.jpg,https://unsplash.com/photos/I1bcW_t4mPU,Point3D Commercial Imaging Ltd.,
writing-why-is-our-snowflake-bill-so-high.jpg,https://unsplash.com/photos/Ws4BtocwnxI,Sasun Bughdaryan,"Alternate: calculator and pen, no receipt. Receipt shots all showed calculator brand names"
writing-do-we-need-a-semantic-layer-before-ai.jpg,https://unsplash.com/photos/A1AV-H8ZBaM,Clark Van Der Beken,
writing-when-to-hire-a-fractional-head-of-data.jpg,https://unsplash.com/photos/2pia6OAe5rA,Annie Spratt,
writing-is-our-data-ready-for-ai.jpg,https://unsplash.com/photos/Q2J2qQsoYH8,Markus Winkler,"Alternate: clipboard with a printed bullet list, items not ticked"
